
time,open,high,low,close,M15 Line,M25 Line,standardized candle (开盘价),standardized candle (最高价,standardized candle (最低价),standardized candle (关闭),Volume,Histogram,MACD,Signal,K,D
2026-02-14T00:00:00+08:00,4976.87,5033.735,4975.52,5007.995,4975.408333333327,4965.42299999999,4975.52,5033.735,4975.52,,69544,7.605710166710299,-5.48421685980702,-13.08992702651732,88.66843469751147,91.6175185229702
2026-02-14T01:00:00+08:00,5008.03,5029.235,5006.1,5021.045,4977.568666666661,4963.841999999991,5006.1,5033.735,5006.1,,36069,9.065500840199903,-1.758050976267441,-10.823551816467344,88.66843469751147,88.66843469751147
2026-02-14T02:00:00+08:00,5021.085,5035.55,5015.485,5031.185,4980.880333333328,4966.89979999999,5015.485,5035.55,5015.485,,33760,10.25102818641309,1.9902334165490174,-8.260794769864072,99.99999999999999,92.44562313167432
2026-02-14T03:00:00+08:00,5031.24,5046.185,5023.545,5023.94,4984.009999999994,4970.2115999999905,5023.545,5046.185,5023.545,,38969,10.069671037696908,4.326294027257063,-5.743377010439845,96.33103042334456,94.999821706952
2026-02-14T04:00:00+08:00,5023.865,5034.85,5021.705,5032.59,4989.74566666666,4974.090199999991,5021.705,5034.85,5021.705,,45548,10.032515159127776,6.797266938469875,-3.235248220657901,95.84257896736857,97.39120313023771
2026-02-14T05:00:00+08:00,5032.545,5046.48,5029.8,5042.74,4994.7523333333265,4977.97319999999,5029.8,5046.48,5029.8,,9195,10.160549979905028,9.465439254223384,-0.6951107256816442,95.84257896736854,96.00539611936057
2026-02-16T07:00:00+08:00,5017.145,5032.565,5009.64,5020.215,4997.76366666666,4982.176999999991,5009.64,5032.565,5009.64,,31766,8.277011219969996,9.65115329928085,1.3741420793108547,88.66574458176488,93.45030083883402
2026-02-16T08:00:00+08:00,5020.21,5023.075,5000.13,5015.62,4999.951999999993,4985.918599999991,5000.13,5023.075,5000.13,,26654,6.356781053910108,9.32011839669849,2.963337342788382,76.23508035803106,86.91446796905484
2026-02-16T09:00:00+08:00,5015.63,5031.29,5006.995,5028.955,5003.85966666666,4990.258199999991,5006.995,5031.29,5006.995,,23101,5.643977386041181,10.018309075339857,4.3743316892986766,68.00503008505058,77.6352850082822
2026-02-16T10:00:00+08:00,5028.965,5031.28,4992.19,4994.54,5006.822333333327,4992.912799999991,4992.19,5031.28,4992.19,,27402,2.665174388205976,7.705799674556147,5.040625286350171,48.42456061399789,64.22155701902653
2026-02-16T11:00:00+08:00,4994.525,5000.08,4973.455,4987.555,5009.083333333327,4993.180399999991,4973.455,5000.08,4973.455,,27045,0.16668473241389314,5.248981201867537,5.082296469453643,28.010342960374384,48.146644553140966
2026-02-16T12:00:00+08:00,4987.635,4992.38,4973.36,4977.9,5009.636333333327,4992.750799999992,4973.36,4992.38,4973.36,,21221,-2.0705519401011356,2.4941065443272237,4.564658484428359,2.9070599000215416,26.447321158131288
2026-02-16T13:00:00+08:00,4977.92,4991.04,4964.865,4990.77,5009.870333333326,4993.121199999991,4964.865,4991.04,4964.865,,18101,-2.5845485765846057,1.3339727636976022,3.918521340282208,6.753438514440485,12.556947124945472
2026-02-16T14:00:00+08:00,4990.775,5003.22,4984.58,4994.92,5009.790333333326,4993.838199999991,4984.58,5003.22,4984.58,,15923,-2.5421065096500994,0.7408882032195834,3.282994712869683,15.654133158448426,8.438210524303486
2026-02-16T15:00:00+08:00,4994.91,5010.115,4988.965,5007.4,5011.824666666659,4996.271999999992,4988.965,5010.115,4988.965,,18910,-1.6157292121521798,1.263333197679458,2.8790624098316377,30.909812169078233,17.772461280655715
2026-02-16T16:00:00+08:00,5007.42,5013.33,4995.86,5008.11,5011.8323333333265,4997.890799999991,4995.86,5013.33,4995.86,,18847,-0.9313319949394478,1.7148974161573278,2.6462294110967757,39.77431816469646,28.779421164074375
2026-02-16T17:00:00+08:00,5008.1,5017.445,5007.995,5013.66,5011.339999999993,4999.435399999991,5007.995,5017.445,5007.995,,13160,-0.12348025027148957,2.4918790982574137,2.6153593485289033,49.42960982103437,40.03791338493635
2026-02-16T18:00:00+08:00,5013.67,5017.225,5000.27,5006.09,5009.666999999992,5000.367199999991,5000.27,5017.225,5000.27,,14823,-0.11760483569465086,2.4683533039105896,2.5859581396052405,48.0849260636906,45.762951349807146
2026-02-16T19:00:00+08:00,5006.15,5008.23,4999.03,5004.75,5008.387666666659,5001.743599999991,4999.03,5008.23,4999.03,,9901,-0.21684855610216225,2.3148974444775376,2.5317460005797,45.54040312123524,47.6849796686534
2026-02-16T20:00:00+08:00,5004.755,5008.19,4992.725,5002.03,5006.350333333326,5003.820799999991,4992.725,5008.19,4992.725,,18261,-0.46435052835059754,1.9513078401414532,2.4156583684920507,42.54089841970416,45.38874253487666
2026-02-16T21:00:00+08:00,5002.065,5003.905,4989.64,4997.365,5003.325333333326,5005.569799999991,4989.64,5003.905,4989.64,,17440,-0.9148704455935595,1.2720703115001015,2.186940757093661,39.88559220570293,42.65563124888077
2026-02-16T22:00:00+08:00,4997.37,4999.66,4981.765,4988.41,5001.204999999992,5006.321999999991,4981.765,4999.66,4981.765,,23574,-1.740713682109875,0.011048654456317308,1.7517623365661923,30.02381282919531,37.483434484867466
2026-02-16T23:00:00+08:00,4988.395,4988.51,4969.11,4979.7,4998.810333333326,5006.0195999999905,4969.11,4988.51,4969.11,,28305,-2.738907470598921,-1.671872001682459,1.067035468916462,14.467331230380536,28.125578755092928
2026-02-17T00:00:00+08:00,4979.71,4990.45,4973.235,4988.37,4996.10466666666,5005.709599999991,4973.235,4990.45,4973.235,,18596,-2.677406756949543,-2.279722977270467,0.3976837796790763,13.810229085137342,19.433791048237733
2026-02-17T01:00:00+08:00,4988.375,4996.195,4988.22,4991.765,4995.9196666666585,5006.304799999991,4988.22,4996.195,4988.22,,9099,-2.285469853144644,-2.459153536751728,-0.17368368360708453,25.27503547891777,17.850865264811887
2026-02-17T02:00:00+08:00,4991.865,4997.975,4988.645,4994.59,4996.388666666658,5005.768599999991,4988.645,4997.975,4988.645,,8854,-1.7381349473820902,-2.3463523678346974,-0.6082174204526072,43.4297484378226,27.50500433395924
2026-02-17T03:00:00+08:00,4994.61,4996.525,4990.425,4992.005,4997.3289999999915,5004.606999999992,4990.425,4997.975,4990.425,,5817,-1.4633837848606592,-2.4374471515284313,-0.974063366667772,47.886591825555946,38.863791914098776
2026-02-17T07:00:00+08:00,4997.26,5001.24,4985.185,4989.925,4997.272666666658,5002.956599999991,4990.425,5001.24,4990.425,,13061,-1.3383224738362676,-2.6469664589631066,-1.308643985126839,45.68783112952454,45.6680571309677
2026-02-17T08:00:00+08:00,4989.855,4991.515,4932.235,4936.04,4993.347333333325,4999.440599999991,4932.235,4991.515,4932.235,,33175,-4.616663548775918,-7.079473421096736,-2.4628098723208183,27.533118170619705,40.369180375233405
2026-02-17T09:00:00+08:00,4936.1,4964.1,4922.895,4957.605,4990.027666666658,4996.441199999991,4922.895,4964.1,4922.895,,35808,-5.030770202900555,-8.751272625946513,-3.720502423045957,25.30942713496746,32.843458811703904
